x-axis,1,2,MATH
second,Volt,Volt,Volt/second
-50.2000E-06,+4.9390625954E+00,+19.5312500E-03,+0.0E+00
-50.1000E-06,+4.9273438454E+00,+19.5312500E-03,-39.0624999999978E+03
-50.0000E-06,+4.9312500954E+00,+11.7187500E-03,+2.2E-09
-49.9000E-06,+4.9312500954E+00,+23.4375000E-03,+39.0624999999973E+03
-49.8000E-06,+4.9351563454E+00,+27.3437500E-03,+15.6249999999989E+03
-49.7000E-06,+4.9312500954E+00,+19.5312500E-03,+5.8593749999998E+03
-49.6000E-06,+4.9351563454E+00,+23.4375000E-03,+3.9062500000000E+03
-49.5000E-06,+4.9273438454E+00,+27.3437500E-03,+3.9062500000003E+03
-49.4000E-06,+4.9312500954E+00,+23.4375000E-03,+5.8593749999982E+03
-49.3000E-06,+4.9312500954E+00,+23.4375000E-03,-1.9531249999973E+03
-49.2000E-06,+4.9312500954E+00,+27.3437500E-03,+9.7656249999956E+03
-49.1000E-06,+4.9273438454E+00,+23.4375000E-03,-5.8593749999995E+03
-49.0000E-06,+4.9312500954E+00,+31.2500000E-03,-3.9062500000017E+03
-48.9000E-06,+4.9312500954E+00,+23.4375000E-03,-9.7656250000000E+03
-48.8000E-06,+4.9351563454E+00,+23.4375000E-03,-9.7656249999967E+03
-48.7000E-06,+4.9273438454E+00,+15.6250000E-03,-800E-12
-48.6000E-06,+4.9312500954E+00,+23.4375000E-03,-1.9531249999977E+03
-48.5000E-06,+4.9234375954E+00,+23.4375000E-03,+3.9062499999965E+03
-48.4000E-06,+4.9312500954E+00,+27.3437500E-03,-3.9062499999982E+03
-48.3000E-06,+4.9351563454E+00,+23.4375000E-03,-2.7E-09
-48.2000E-06,+4.9273438454E+00,+19.5312500E-03,-5.8593749999920E+03
-48.1000E-06,+4.9312500954E+00,+15.6250000E-03,+9.7656249999950E+03
-48.0000E-06,+4.9312500954E+00,+23.4375000E-03,+6.7E-09
-47.9000E-06,+4.9351563454E+00,+31.2500000E-03,+11.7187499999956E+03
-47.8000E-06,+4.9312500954E+00,+19.5312500E-03,+3.9062499999963E+03
-47.7000E-06,+4.9351563454E+00,+23.4375000E-03,-1.9531249999976E+03
-47.6000E-06,+4.9312500954E+00,+27.3437500E-03,+1.9531249999927E+03
-47.5000E-06,+4.9312500954E+00,+27.3437500E-03,-9.7656249999920E+03
-47.4000E-06,+4.9312500954E+00,+19.5312500E-03,+1.9531249999947E+03
-47.3000E-06,+4.9351563454E+00,+19.5312500E-03,-5.8593749999942E+03
-47.2000E-06,+4.9351563454E+00,+27.3437500E-03,+1.9531249999942E+03
-47.1000E-06,+4.9312500954E+00,+23.4375000E-03,-5.8593749999985E+03
-47.0000E-06,+4.9273438454E+00,+23.4375000E-03,-3.9062500000016E+03
-46.9000E-06,+4.9312500954E+00,+19.5312500E-03,-5.8593750000031E+03
-46.8000E-06,+4.9312500954E+00,+23.4375000E-03,-9.7656249999900E+03
-46.7000E-06,+4.9312500954E+00,+15.6250000E-03,+1.9531249999900E+03
-46.6000E-06,+4.9351563454E+00,+19.5312500E-03,-9.7656249999876E+03
-46.5000E-06,+4.9351563454E+00,+23.4375000E-03,+3.9062499999947E+03
-46.4000E-06,+4.9312500954E+00,+19.5312500E-03,-1.9531250000000E+03
-46.3000E-06,+4.9351563454E+00,+19.5312500E-03,-1.9531249999887E+03
-46.2000E-06,+4.9312500954E+00,+15.6250000E-03,+9.7656249999906E+03
-46.1000E-06,+4.9312500954E+00,+19.5312500E-03,+6.0E-09
-46.0000E-06,+4.9312500954E+00,+27.3437500E-03,+5.8593750000000E+03
-45.9000E-06,+4.9312500954E+00,+19.5312500E-03,+5.8593749999937E+03
-45.8000E-06,+4.9312500954E+00,+19.5312500E-03,+6.3E-09
-45.7000E-06,+4.9312500954E+00,+23.4375000E-03,+5.8593749999933E+03
-45.6000E-06,+4.9351563454E+00,+23.4375000E-03,+2.2E-09
-45.5000E-06,+4.9351563454E+00,+23.4375000E-03,+1.9531249999933E+03
-45.4000E-06,+4.9351563454E+00,+23.4375000E-03,-3.9062499999977E+03
-45.3000E-06,+4.9312500954E+00,+23.4375000E-03,-1.9531250000047E+03
-45.2000E-06,+4.9312500954E+00,+19.5312500E-03,-5.8593749999976E+03
-45.1000E-06,+4.9273438454E+00,+23.4375000E-03,-3.9062499999951E+03
-45.0000E-06,+4.9312500954E+00,+19.5312500E-03,+0.0E+00
-44.9000E-06,+4.9273438454E+00,+19.5312500E-03,+5.1E-09
-44.8000E-06,+4.9273438454E+00,+19.5312500E-03,+3.9062499999975E+03
-44.7000E-06,+4.9273438454E+00,+23.4375000E-03,+1.9531250000000E+03
-44.6000E-06,+4.9312500954E+00,+23.4375000E-03,+1.9531249999947E+03
-44.5000E-06,+4.9312500954E+00,+23.4375000E-03,-1.9531249999945E+03
-44.4000E-06,+4.9351563454E+00,+19.5312500E-03,+1.9531249999972E+03
-44.3000E-06,+4.9312500954E+00,+19.5312500E-03,+5.6E-09
-44.2000E-06,+4.9273438454E+00,+23.4375000E-03,+3.9062499999971E+03
-44.1000E-06,+4.9312500954E+00,+23.4375000E-03,+1.9531250000000E+03
-44.0000E-06,+4.9273438454E+00,+23.4375000E-03,+1.9531249999940E+03
-43.9000E-06,+4.9351563454E+00,+23.4375000E-03,-1.9531250000000E+03
-43.8000E-06,+4.9351563454E+00,+23.4375000E-03,-1.9531249999969E+03
-43.7000E-06,+4.9351563454E+00,+19.5312500E-03,-6.2E-09
-43.6000E-06,+4.9351563454E+00,+23.4375000E-03,-3.9062499999876E+03
-43.5000E-06,+4.9312500954E+00,+23.4375000E-03,+3.9062499999968E+03
-43.4000E-06,+4.9312500954E+00,+19.5312500E-03,+1.9531249999968E+03
-43.3000E-06,+4.9312500954E+00,+23.4375000E-03,+16.7E-09
-43.2000E-06,+4.9312500954E+00,+23.4375000E-03,+9.7656249999767E+03
-43.1000E-06,+4.9312500954E+00,+23.4375000E-03,-3.9062499999862E+03
-43.0000E-06,+4.9273438454E+00,+27.3437500E-03,+3.9062499999897E+03
-42.9000E-06,+4.9351563454E+00,+19.5312500E-03,-1.9531249999966E+03
-42.8000E-06,+4.9273438454E+00,+23.4375000E-03,-3.6E-09
-42.7000E-06,+4.9312500954E+00,+23.4375000E-03,-1.9531249999965E+03
-42.6000E-06,+4.9351563454E+00,+27.3437500E-03,-7.3E-09
-42.5000E-06,+4.9312500954E+00,+19.5312500E-03,-3.9062499999890E+03
-42.4000E-06,+4.9273438454E+00,+23.4375000E-03,+1.9531249999962E+03
-42.3000E-06,+4.9273438454E+00,+19.5312500E-03,+0.0E+00
-42.2000E-06,+4.9351563454E+00,+27.3437500E-03,+7.5E-09
-42.1000E-06,+4.9312500954E+00,+19.5312500E-03,+3.9062499999689E+03
-42.0000E-06,+4.9312500954E+00,+27.3437500E-03,-11.7187499999728E+03
-41.9000E-06,+4.9273438454E+00,+23.4375000E-03,+1.9531249999720E+03
-41.8000E-06,+4.9312500954E+00,+19.5312500E-03,-11.7187499999720E+03
-41.7000E-06,+4.9312500954E+00,+19.5312500E-03,+1.9531249999959E+03
-41.6000E-06,+4.9273438454E+00,+19.5312500E-03,+8.2E-09
-41.5000E-06,+4.9312500954E+00,+23.4375000E-03,+3.9062499999918E+03
-41.4000E-06,+4.9312500954E+00,+23.4375000E-03,+0.0E+00
-41.3000E-06,+4.9312500954E+00,+23.4375000E-03,-8.4E-09
-41.2000E-06,+4.9351563454E+00,+19.5312500E-03,-3.9062500000043E+03
-41.1000E-06,+4.9312500954E+00,+23.4375000E-03,-5.8593749999913E+03
-41.0000E-06,+4.9273438454E+00,+19.5312500E-03,-1.9531250000089E+03
-40.9000E-06,+4.9312500954E+00,+19.5312500E-03,-5.8593749999911E+03
-40.8000E-06,+4.9312500954E+00,+19.5312500E-03,-1.9531249999956E+03
-40.7000E-06,+4.9312500954E+00,+19.5312500E-03,-13.7E-09
-40.6000E-06,+4.9312500954E+00,+19.5312500E-03,-5.8593749999772E+03
-40.5000E-06,+4.9312500954E+00,+19.5312500E-03,+3.9062499999860E+03
-40.4000E-06,+4.9351563454E+00,+15.6250000E-03,-1.9531249999860E+03
-40.3000E-06,+4.9273438454E+00,+23.4375000E-03,+3.9062500000239E+03
-40.2000E-06,+4.9273438454E+00,+15.6250000E-03,+13.6718749999809E+03
-40.1000E-06,+4.9312500954E+00,+19.5312500E-03,+5.8593750000239E+03
-40.0000E-06,+4.9312500954E+00,+23.4375000E-03,+15.6249999999756E+03
-39.9000E-06,+4.9312500954E+00,+27.3437500E-03,+5.8593749999854E+03
-39.8000E-06,+4.9273438454E+00,+27.3437500E-03,+5.0E-09
-39.7000E-06,+4.9273438454E+00,+23.4375000E-03,+1.9531249999850E+03
-39.6000E-06,+4.9312500954E+00,+19.5312500E-03,-3.9062499999949E+03
-39.5000E-06,+4.9312500954E+00,+27.3437500E-03,-1.9531249999847E+03
-39.4000E-06,+4.9312500954E+00,+23.4375000E-03,+3.9062499999847E+03
-39.3000E-06,+4.9312500954E+00,+23.4375000E-03,-1.9531249999791E+03
-39.2000E-06,+4.9273438454E+00,+23.4375000E-03,+5.8593749999948E+03
-39.1000E-06,+4.9312500954E+00,+23.4375000E-03,+3.9062499999947E+03
-39.0000E-06,+4.9312500954E+00,+27.3437500E-03,+1.9531250000053E+03
-38.9000E-06,+4.9273438454E+00,+27.3437500E-03,+3.9062499999893E+03
-38.8000E-06,+4.9312500954E+00,+23.4375000E-03,-5.4E-09
-38.7000E-06,+4.9312500954E+00,+27.3437500E-03,-1.9531250000054E+03
-38.6000E-06,+4.9273438454E+00,+27.3437500E-03,-3.9062499999889E+03
-38.5000E-06,+4.9351563454E+00,+23.4375000E-03,-27.8E-09
-38.4000E-06,+4.9312500954E+00,+23.4375000E-03,-9.7656249999660E+03
-38.3000E-06,+4.9312500954E+00,+27.3437500E-03,+1.9531249999887E+03
-38.2000E-06,+4.9312500954E+00,+19.5312500E-03,-1.9531250000113E+03
-38.1000E-06,+4.9312500954E+00,+27.3437500E-03,-5.8593749999769E+03
-38.0000E-06,+4.9351563454E+00,+23.4375000E-03,+1.9531249999654E+03
-37.9000E-06,+4.9351563454E+00,+23.4375000E-03,-9.7656249999824E+03
-37.8000E-06,+4.9273438454E+00,+23.4375000E-03,-3.9062499999824E+03
-37.7000E-06,+4.9351563454E+00,+19.5312500E-03,+1.9531249999760E+03
-37.6000E-06,+4.9351563454E+00,+19.5312500E-03,-5.8593749999700E+03
-37.5000E-06,+4.9312500954E+00,+27.3437500E-03,+3.9062499999880E+03
-37.4000E-06,+4.9273438454E+00,+19.5312500E-03,-6.1E-09
-37.3000E-06,+4.9273438454E+00,+23.4375000E-03,-1.9531249999634E+03
-37.2000E-06,+4.9273438454E+00,+19.5312500E-03,+9.7656249999689E+03
-37.1000E-06,+4.9273438454E+00,+23.4375000E-03,+37.3E-09
-37.0000E-06,+4.9273438454E+00,+23.4375000E-03,+11.7187499999747E+03
-36.9000E-06,+4.9273438454E+00,+23.4375000E-03,+3.9062499999873E+03
-36.8000E-06,+4.9312500954E+00,+27.3437500E-03,+0.0E+00
-36.7000E-06,+4.9273438454E+00,+27.3437500E-03,-38.6E-09
-36.6000E-06,+4.9312500954E+00,+23.4375000E-03,-11.7187499999742E+03
-36.5000E-06,+4.9312500954E+00,+23.4375000E-03,-3.9062500000197E+03
-36.4000E-06,+4.9312500954E+00,+19.5312500E-03,-9.7656249999738E+03
-36.3000E-06,+4.9273438454E+00,+23.4375000E-03,-1.9531249999933E+03
-36.2000E-06,+4.9273438454E+00,+19.5312500E-03,-6.7E-09
-36.1000E-06,+4.9312500954E+00,+23.4375000E-03,-1.9531249999734E+03
-36.0000E-06,+4.9312500954E+00,+19.5312500E-03,+5.8593749999594E+03
-35.9000E-06,+4.9312500954E+00,+23.4375000E-03,-5.8593749999594E+03
-35.8000E-06,+4.9351563454E+00,+23.4375000E-03,+5.8593749999587E+03
-35.7000E-06,+4.9234375954E+00,+19.5312500E-03,-5.8593749999725E+03
-35.6000E-06,+4.9273438454E+00,+23.4375000E-03,+1.9531249999860E+03
-35.5000E-06,+4.9312500954E+00,+19.5312500E-03,-1.9531249999860E+03
-35.4000E-06,+4.9312500954E+00,+23.4375000E-03,+1.9531250000000E+03
-35.3000E-06,+4.9312500954E+00,+19.5312500E-03,+1.9531250000142E+03
-35.2000E-06,+4.9312500954E+00,+23.4375000E-03,+5.8593750000142E+03
-35.1000E-06,+4.9273438454E+00,+19.5312500E-03,+9.7656249999784E+03
-35.0000E-06,+4.9273438454E+00,+27.3437500E-03,+3.9062500000289E+03
-34.9000E-06,+4.9312500954E+00,+23.4375000E-03,+11.7187499999414E+03
-34.8000E-06,+4.9312500954E+00,+27.3437500E-03,-3.9062499999707E+03
-34.7000E-06,+4.9312500954E+00,+27.3437500E-03,+3.9062499999634E+03
-34.6000E-06,+4.9312500954E+00,+23.4375000E-03,-5.8593749999777E+03
-34.5000E-06,+4.9312500954E+00,+23.4375000E-03,-14.9E-09
-34.4000E-06,+4.9273438454E+00,+23.4375000E-03,-3.9062500000000E+03
-34.3000E-06,+4.9312500954E+00,+27.3437500E-03,-3.9062500000000E+03
-34.2000E-06,+4.9312500954E+00,+23.4375000E-03,-3.9062500000230E+03
-34.1000E-06,+4.9312500954E+00,+23.4375000E-03,-9.7656249999617E+03
-34.0000E-06,+4.9273438454E+00,+19.5312500E-03,-15.3E-09
-33.9000E-06,+4.9312500954E+00,+19.5312500E-03,-3.9062499999689E+03
-33.8000E-06,+4.9312500954E+00,+23.4375000E-03,+3.9062499999845E+03
-33.7000E-06,+4.9312500954E+00,+23.4375000E-03,+7.9E-09
-33.6000E-06,+4.9312500954E+00,+23.4375000E-03,+1.9531250000079E+03
-33.5000E-06,+4.9312500954E+00,+19.5312500E-03,+3.9062499999842E+03
-33.4000E-06,+4.9273438454E+00,+23.4375000E-03,+40.0E-09
-33.3000E-06,+4.9273438454E+00,+23.4375000E-03,+9.7656249999680E+03
-33.2000E-06,+4.9234375954E+00,+23.4375000E-03,+1.9531250000000E+03
-33.1000E-06,+4.9273438454E+00,+27.3437500E-03,+1.9531249999838E+03
-33.0000E-06,+4.9273438454E+00,+23.4375000E-03,-1.9531250000082E+03
-32.9000E-06,+4.9312500954E+00,+23.4375000E-03,-3.9062500000411E+03
-32.8000E-06,+4.9234375954E+00,+27.3437500E-03,-13.6718749999671E+03
-32.7000E-06,+4.9312500954E+00,+23.4375000E-03,-5.8593749999834E+03
-32.6000E-06,+4.9312500954E+00,+11.7187500E-03,-1.9531250000333E+03
-32.5000E-06,+4.9195313454E+00,+23.4375000E-03,-9.7656249998988E+03
-32.4000E-06,+4.9351563454E+00,+23.4375000E-03,+13.6718749999325E+03
-32.3000E-06,+4.9312500954E+00,+15.6250000E-03,-1.9531249999744E+03
-32.2000E-06,+4.9390625954E+00,+27.3437500E-03,+3.9062500000086E+03
-32.1000E-06,+4.9156250954E+00,+23.4375000E-03,+5.8593749999829E+03
-32.0000E-06,+4.9312500954E+00,+19.5312500E-03,+1.9531250000173E+03
-31.9000E-06,+4.9273438454E+00,+19.5312500E-03,+5.8593750000000E+03
-31.8000E-06,+4.9351563454E+00,+27.3437500E-03,+5.8593749999737E+03
-31.7000E-06,+4.9234375954E+00,+27.3437500E-03,-8.8E-09
-31.6000E-06,+4.9351563454E+00,+27.3437500E-03,-1.9531250000000E+03
-31.5000E-06,+4.9273438454E+00,+19.5312500E-03,-1.9531250000178E+03
-31.4000E-06,+4.9390625954E+00,+23.4375000E-03,-5.8593749999734E+03
-31.3000E-06,+4.9312500954E+00,+23.4375000E-03,-9.0E-09
-31.2000E-06,+4.9351563454E+00,+23.4375000E-03,-1.9531250000000E+03
-31.1000E-06,+4.9273438454E+00,+23.4375000E-03,-1.9531249999909E+03
-31.0000E-06,+4.9273438454E+00,+23.4375000E-03,+0.0E+00
-30.9000E-06,+4.9273438454E+00,+19.5312500E-03,-9.2E-09
-30.8000E-06,+4.9273438454E+00,+23.4375000E-03,-1.9531249999816E+03
-30.7000E-06,+4.9312500954E+00,+23.4375000E-03,+1.9531249999631E+03
-30.6000E-06,+4.9312500954E+00,+23.4375000E-03,-5.8593749999814E+03
-30.5000E-06,+4.9273438454E+00,+23.4375000E-03,-1.9531250000187E+03
-30.4000E-06,+4.9312500954E+00,+19.5312500E-03,-5.8593749999907E+03
-30.3000E-06,+4.9273438454E+00,+19.5312500E-03,-3.9062499999816E+03
-30.2000E-06,+4.9312500954E+00,+19.5312500E-03,-18.4E-09
-30.1000E-06,+4.9312500954E+00,+23.4375000E-03,-3.9062499999539E+03
-30.0000E-06,+4.9312500954E+00,+19.5312500E-03,+5.8593749999816E+03
-29.9000E-06,+4.9312500954E+00,+15.6250000E-03,+1.9531250000369E+03
-29.8000E-06,+4.9312500954E+00,+23.4375000E-03,+9.7656249999818E+03
-29.7000E-06,+4.9312500954E+00,+23.4375000E-03,+5.8593750000182E+03
-29.6000E-06,+4.9312500954E+00,+23.4375000E-03,+9.7656249999545E+03
-29.5000E-06,+4.9312500954E+00,+23.4375000E-03,+9.1E-09
-29.4000E-06,+4.9312500954E+00,+27.3437500E-03,+1.9531249999818E+03
-29.3000E-06,+4.9312500954E+00,+19.5312500E-03,-1.9531250000364E+03
-29.2000E-06,+4.9312500954E+00,+27.3437500E-03,-9.7656249999640E+03
-29.1000E-06,+4.9273438454E+00,+23.4375000E-03,-1.9531250000180E+03
-29.0000E-06,+4.9312500954E+00,+19.5312500E-03,-5.8593749999910E+03
-28.9000E-06,+4.9312500954E+00,+19.5312500E-03,-3.9062499999820E+03
-28.8000E-06,+4.9273438454E+00,+23.4375000E-03,-18.0E-09
-28.7000E-06,+4.9273438454E+00,+19.5312500E-03,-3.9062500000090E+03
-28.6000E-06,+4.9312500954E+00,+23.4375000E-03,-5.8593749999822E+03
-28.5000E-06,+4.9312500954E+00,+19.5312500E-03,-1.9531250000444E+03
-28.4000E-06,+4.9273438454E+00,+19.5312500E-03,-11.7187499999289E+03
-28.3000E-06,+4.9312500954E+00,+15.6250000E-03,+3.9062499999911E+03
-28.2000E-06,+4.9273438454E+00,+15.6250000E-03,+1.9531250000178E+03
-28.1000E-06,+4.9234375954E+00,+23.4375000E-03,+5.8593750000444E+03
-28.0000E-06,+4.9273438454E+00,+19.5312500E-03,+15.6249999999474E+03
-27.9000E-06,+4.9312500954E+00,+19.5312500E-03,+3.9062500000088E+03
-27.8000E-06,+4.9273438454E+00,+27.3437500E-03,+5.8593750000000E+03
-27.7000E-06,+4.9312500954E+00,+23.4375000E-03,+5.8593749999298E+03
-27.6000E-06,+4.9273438454E+00,+23.4375000E-03,-9.7656249999386E+03
-27.5000E-06,+4.9273438454E+00,+23.4375000E-03,+3.9062499999562E+03
-27.4000E-06,+4.9312500954E+00,+19.5312500E-03,-5.8593750000000E+03
-27.3000E-06,+4.9312500954E+00,+27.3437500E-03,-5.8593749999740E+03
-27.2000E-06,+4.9351563454E+00,+19.5312500E-03,-52.0E-09
-27.1000E-06,+4.9312500954E+00,+19.5312500E-03,-11.7187499999740E+03
-27.0000E-06,+4.9312500954E+00,+23.4375000E-03,-5.8593749999913E+03
-26.9000E-06,+4.9312500954E+00,+19.5312500E-03,-3.9062500000260E+03
-26.8000E-06,+4.9312500954E+00,+15.6250000E-03,-9.7656249999402E+03
-26.7000E-06,+4.9351563454E+00,+19.5312500E-03,+3.9062500000000E+03
-26.6000E-06,+4.9351563454E+00,+15.6250000E-03,+3.9062500000342E+03
-26.5000E-06,+4.9312500954E+00,+19.5312500E-03,+11.7187500000085E+03
-26.4000E-06,+4.9312500954E+00,+19.5312500E-03,+13.6718749999658E+03
-26.3000E-06,+4.9273438454E+00,+27.3437500E-03,+5.8593750000171E+03
-26.2000E-06,+4.9312500954E+00,+23.4375000E-03,+9.7656249999409E+03
-26.1000E-06,+4.9351563454E+00,+23.4375000E-03,-3.9062499999747E+03
-26.0000E-06,+4.9351563454E+00,+23.4375000E-03,+1.9531249999663E+03
-25.9000E-06,+4.9273438454E+00,+23.4375000E-03,-5.8593749999831E+03
-25.8000E-06,+4.9273438454E+00,+23.4375000E-03,-1.9531249999916E+03
-25.7000E-06,+4.9312500954E+00,+19.5312500E-03,-16.8E-09
-25.6000E-06,+4.9273438454E+00,+23.4375000E-03,-3.9062499999665E+03
-25.5000E-06,+4.9312500954E+00,+23.4375000E-03,+3.9062499999917E+03
-25.4000E-06,+4.9273438454E+00,+19.5312500E-03,+1.9531249999917E+03
